p_lat,p_lon,o_lat,o_lon,dist
-8.051789519266075,-34.95041776871441,-8.05077,-34.950540000000004,0.11355695966877155
-8.04971971401739,-34.94629870584476,-8.04675,-34.94515,0.3520015685452655
-8.053873362021744,-34.95937641765575,-8.0533,-34.95973,0.07443169981270216
-8.049199753216337,-34.955258150747404,-8.04936,-34.955709999999996,0.05286647712102562
-8.0556789401542,-34.950651647687266,-8.05525,-34.95163,0.11781509457372256
-8.051792811433483,-34.95329781997471,-8.051039999999999,-34.9532,0.08395329925312654
-8.050166429695373,-34.953828337322854,-8.05038,-34.95375,0.025148975376385486
-8.055634035585356,-34.95449630008426,-8.05562,-34.95405,0.04921937885864961
-8.04956632846202,-34.94685058993802,-8.04663,-34.94513,0.37607383864684213
-8.052965303303402,-34.95651842409913,-8.0527,-34.95551,0.11496495762988954
-8.051515117560836,-34.95041897126344,-8.05204,-34.95028,0.060037133433735346
-8.05033285908395,-34.95370086831532,-8.05045,-34.953829999999996,0.019247112956188823
-8.051189770085037,-34.947556775045385,-8.05215,-34.94822,0.12892848274658714
-8.056054581678309,-34.955672003055184,-8.05668,-34.95561,0.06950565233281233
-8.053610267108015,-34.946120341747275,-8.05195,-34.94761,0.24633061943467327
-8.056160274251901,-34.949896565312876,-8.05846,-34.9498,0.2545633152802386
-8.049128930236154,-34.949674205967874,-8.049,-34.95035,0.07584526478521147
-8.054041809212112,-34.95419684867639,-8.053230000000001,-34.95397,0.09319996955631825
-8.051269646169356,-34.94788733072477,-8.05176,-34.948879999999996,0.12212310588246525
-8.054983923181041,-34.95799219596275,-8.05425,-34.95688,0.1470310568296976
-8.055244329377029,-34.95754448013902,-8.05442,-34.95627,0.16747327011977717
-8.046375165528428,-34.951264577805304,-8.04761,-34.95066,0.1519606915602235
-8.05621506987269,-34.955496009396995,-8.05662,-34.95527,0.051246613564658976
-8.053016532071494,-34.957385521375876,-8.05081,-34.959740000000004,0.35624374208627524
-8.05248804033241,-34.947719205988214,-8.05223,-34.94815,0.055401787862932976
-8.048642151675072,-34.952225433312975,-8.0488,-34.95297,0.08390979376992164
-8.048475428213914,-34.949004900189315,-8.047260000000001,-34.947559999999996,0.20841471541351547
-8.048781439288392,-34.94929611782365,-8.048739999999999,-34.95045,0.12727514194810163
-8.052643569815272,-34.9472731606769,-8.05217,-34.94798,0.09388170877558563
-8.049940619044193,-34.957350060822804,-8.04836,-34.959070000000004,0.25788095952957685
-8.05438867218446,-34.94643317289756,-8.05545,-34.94654,0.1179678688559752
-8.050087226653682,-34.95502180734936,-8.04999,-34.95473,0.033915593010373425
-8.046069725884218,-34.95130569200543,-8.04668,-34.950590000000005,0.10382322789441813
-8.050169180886614,-34.95604045610522,-8.048789999999999,-34.95775,0.24243914824754567
-8.055253298026125,-34.950922046897254,-8.05529,-34.95128,0.03966483264651876
-8.05386575357058,-34.957266525964386,-8.05344,-34.955729999999996,0.17579296080906096
-8.055473948010835,-34.95079690616271,-8.05621,-34.95075,0.08156850088697115
-8.04685657222263,-34.95126997913498,-8.04696,-34.9506,0.07473283254847103
-8.053433627311538,-34.95942416095867,-8.0549,-34.95928,0.16295172689641385
-8.04992167290265,-34.956975577316896,-8.04833,-34.959070000000004,0.29032344150720324
-8.056469918287805,-34.949417479341214,-8.0587,-34.949020000000004,0.2504996330422683
-8.055422351628383,-34.95692013294926,-8.05529,-34.95627,0.07314271696432244
-8.056918079235343,-34.948027748951056,-8.05908,-34.94773,0.2413420234545762
-8.055395158377491,-34.95088931529816,-8.05602,-34.9508,0.06980280453693237
-8.056786555490383,-34.9514210021667,-8.0576,-34.95265,0.1626208822900203
-8.051799800466696,-34.958086474334635,-8.05119,-34.95909,0.12955581998054014
-8.0528582221843,-34.95714410928331,-8.05166,-34.9578,0.1509577444819718
-8.047274744434228,-34.95205203441584,-8.04842,-34.95259,0.13985510325436623
-8.05563594198475,-34.95331939951905,-8.05516,-34.95367,0.06530091431485582
-8.04997433816015,-34.95325169504484,-8.04978,-34.95309,0.027921889307573354
-8.056632748930948,-34.95672918648136,-8.05625,-34.95713,0.06118681313031429
-8.050312002584203,-34.952948480295596,-8.04975,-34.95309,0.06408297467618496
-8.050261505249019,-34.954896485755974,-8.05052,-34.95393,0.11030458886313142
-8.053292592939203,-34.9485867202918,-8.05299,-34.94873,0.037005170983934674
-8.055628358130525,-34.95674338715836,-8.05649,-34.95624,0.11027168628999824
-8.053327431504227,-34.946264426491396,-8.05198,-34.946999999999996,0.169650738405587
-8.050579280406659,-34.953512517403475,-8.05045,-34.95386,0.04088449113422822
-8.053262017740687,-34.95646097131158,-8.05305,-34.95562,0.09561904230645249
-8.05555258664422,-34.953433730569216,-8.05512,-34.95366,0.053953341412891126
