p_lat,p_lon,o_lat,o_lon,dist
-8.050969644421311,-34.95058058280458,-8.05077,-34.950540000000004,0.02252849090693927
-8.053669878560303,-34.949168721110645,-8.04675,-34.94515,0.8842708614928734
-8.052493851577623,-34.956042927100135,-8.0533,-34.95973,0.4160867219429548
-8.0486723554912,-34.9576402642447,-8.04936,-34.955709999999996,0.22595606516415428
-8.047114179634837,-34.945236342778124,-8.05525,-34.95163,1.142944280556022
-8.05453061292901,-34.95363282847119,-8.051039999999999,-34.9532,0.38898506435446917
-8.051556693282928,-34.9598807897906,-8.05038,-34.95375,0.6882104322613499
-8.055447234874425,-34.953950511149216,-8.05562,-34.95405,0.022030590185414062
-8.046873330507852,-34.94521525266133,-8.04663,-34.94513,0.02850500200495137
-8.055319943989458,-34.9580104060181,-8.0527,-34.95551,0.3999034351138322
-8.051582290077974,-34.94913745068976,-8.05204,-34.95028,0.1357349403929328
-8.048560183541149,-34.958189674150596,-8.05045,-34.953829999999996,0.5240495238489374
-8.05206388053298,-34.9481913577491,-8.05215,-34.94822,0.010034122074579993
-8.056582533255709,-34.955371806739514,-8.05668,-34.95561,0.02838223649718668
-8.051749823963466,-34.947882081342335,-8.05195,-34.94761,0.03727736086046254
-8.053854372692859,-34.94928606513792,-8.05846,-34.9498,0.5125049079356141
-8.049225049895126,-34.95039728679627,-8.049,-34.95035,0.025429569910092157
-8.049683883637748,-34.94757539719106,-8.053230000000001,-34.95397,0.8066329270186063
-8.05225623466527,-34.94684916304407,-8.05176,-34.948879999999996,0.2304869781961653
-8.054090096101959,-34.95707635201751,-8.05425,-34.95688,0.027949895086059252
-8.054303328783746,-34.95636337054357,-8.05442,-34.95627,0.01650529178304787
-8.04782606556025,-34.95064625119035,-8.04761,-34.95066,0.02394400677299751
-8.056362493434992,-34.955148760503626,-8.05662,-34.95527,0.031458897647973515
-8.0504437303669,-34.95047220463559,-8.05081,-34.959740000000004,1.0223885575897635
-8.052175958397742,-34.94823670390513,-8.05223,-34.94815,0.011272269101824944
-8.048482923811966,-34.952982907246856,-8.0488,-34.95297,0.035096223481139055
-8.04729445521836,-34.94759130342623,-8.047260000000001,-34.947559999999996,0.005140753954100608
-8.048494804629003,-34.95081375600103,-8.048739999999999,-34.95045,0.04840585711916062
-8.053435111186639,-34.948643868275695,-8.05217,-34.94798,0.15789722800772465
-8.048002584315888,-34.959111451570614,-8.04836,-34.959070000000004,0.03979196758069336
-8.055728581493192,-34.946506521764064,-8.05545,-34.94654,0.03103023366974312
-8.053645903492777,-34.95351298026736,-8.04999,-34.95473,0.4260024923721164
-8.048957677252783,-34.957107025283605,-8.04668,-34.950590000000005,0.7612596844892514
-8.04912545154143,-34.95649837764962,-8.048789999999999,-34.95775,0.14286749843149713
-8.055215672222488,-34.951467904518005,-8.05529,-34.95128,0.022284038472160227
-8.05235694864616,-34.95622097143699,-8.05344,-34.955729999999996,0.13143987340121321
-8.05533681743919,-34.95053809999994,-8.05621,-34.95075,0.09935513077621218
-8.047785846268475,-34.95067490733917,-8.04696,-34.9506,0.09170780315675091
-8.054899552574359,-34.95931294917511,-8.0549,-34.95928,0.003632274770845634
-8.050780206343955,-34.95979270720205,-8.04833,-34.959070000000004,0.2824503725346697
-8.057992098872255,-34.950550798891,-8.0587,-34.949020000000004,0.18601453640416357
-8.055333006893305,-34.95628324152997,-8.05529,-34.95627,0.004975308307590193
-8.051751791474645,-34.94849233606505,-8.05908,-34.94773,0.8148157532628874
-8.055808468867424,-34.95064969867545,-8.05602,-34.9508,0.028666768500256543
-8.055072283156324,-34.952010670138996,-8.0576,-34.95265,0.28830131610776216
-8.051091959456794,-34.95898965663904,-8.05119,-34.95909,0.015489018735745439
-8.05159238489547,-34.957712791899795,-8.05166,-34.9578,0.012178985286144991
-8.048351714825388,-34.95072353780017,-8.04842,-34.95259,0.2058791491245202
-8.050497246440164,-34.95977325987306,-8.05516,-34.95367,0.8476611783917195
-8.048402359438883,-34.95171187291418,-8.04978,-34.95309,0.2151534754344755
-8.052051335463151,-34.95673120652929,-8.05625,-34.95713,0.46643185726099134
-8.050885276614697,-34.95318801426849,-8.04975,-34.95309,0.1260210993109431
-8.050533581588047,-34.95972558785768,-8.05052,-34.95393,0.6388474945997886
-8.053103525558582,-34.948854751858875,-8.05299,-34.94873,0.01862089013767526
-8.056651298741935,-34.95523188534849,-8.05649,-34.95624,0.11254527732357948
-8.051902442346968,-34.947335387892494,-8.05198,-34.946999999999996,0.03795159659492248
-8.05319201917114,-34.95400386441359,-8.05045,-34.95386,0.3036708731831866
-8.052737526518843,-34.95560512247568,-8.05305,-34.95562,0.03459722768305442
-8.051631345377627,-34.95526334844789,-8.05512,-34.95366,0.42438346103928337
-8.052934484441193,-34.94876012896443,-8.05214,-34.94835,0.09881478434064926
-8.052367617963805,-34.94666982465249,-8.052389999999999,-34.94675,0.009177782927554686
-8.055829916558315,-34.958136669876055,-8.05556,-34.95459,0.3920813430655503
