p_lat,p_lon,o_lat,o_lon,dist
-8.050962,-34.95052,-8.05077,-34.950540000000004,0.021348578439573437
-8.046748000000001,-34.94515,-8.04675,-34.94515,0.0002211920723921915
-8.053109999999998,-34.959722,-8.0533,-34.95973,0.02103174857089233
-8.04954,-34.95468399999999,-8.04936,-34.955709999999996,0.11483462668686423
-8.05531,-34.951257999999996,-8.05525,-34.95163,0.041538416005175806
-8.051160000000001,-34.953114,-8.051039999999999,-34.9532,0.016309471743112414
-8.050514,-34.953391999999994,-8.05038,-34.95375,0.042153245603100006
-8.055606,-34.954125999999995,-8.05562,-34.95405,0.008519235324522124
-8.046732,-34.945147999999996,-8.04663,-34.94513,0.011453960563555991
-8.052708,-34.95571199999999,-8.0527,-34.95551,0.022283845712703948
-8.051358,-34.950538,-8.05204,-34.95028,0.08060983612583437
-8.050507999999999,-34.953354,-8.05045,-34.953829999999996,0.05285997679085265
-8.052086,-34.948294,-8.05215,-34.94822,0.010799825795634701
-8.056614,-34.955236,-8.05668,-34.95561,0.04186650044960841
-8.05209,-34.947421999999996,-8.05195,-34.94761,0.02586859373696594
-8.058398,-34.95,-8.05846,-34.9498,0.023087274019378583
-8.049064000000001,-34.950386,-8.049,-34.95035,0.008114643137950935
-8.053008,-34.953878,-8.053230000000001,-34.95397,0.02656422390774346
-8.05177,-34.948198,-8.05176,-34.948879999999996,0.07518454042274549
-8.054281999999999,-34.956784,-8.05425,-34.95688,0.011158079473834886
-8.054376000000001,-34.956413999999995,-8.05442,-34.95627,0.01660210249977745
-8.047002,-34.950596,-8.04761,-34.95066,0.06761145476612941
-8.056254,-34.955076,-8.05662,-34.95527,0.045779559522871084
-8.05104,-34.959768,-8.05081,-34.959740000000004,0.025623656266926333
-8.052322,-34.948268,-8.05223,-34.94815,0.016513950207984247
-8.049082,-34.953002,-8.0488,-34.95297,0.03138692352884768
-8.047506,-34.947544,-8.047260000000001,-34.947559999999996,0.027263731952974175
-8.048722,-34.950531999999995,-8.048739999999999,-34.95045,0.009255496727502846
-8.052226,-34.948094,-8.05217,-34.94798,0.014009482241844553
-8.048386,-34.958814,-8.04836,-34.959070000000004,0.028365071742705725
-8.055166,-34.94653199999999,-8.05545,-34.94654,0.031421663700688086
-8.050042,-34.95473199999999,-8.04999,-34.95473,0.005755218809726294
-8.046834,-34.950644,-8.04668,-34.950590000000005,0.018041995505559693
-8.048846,-34.957536,-8.048789999999999,-34.95775,0.02438873831086544
-8.055614,-34.950758,-8.05529,-34.95128,0.06778474651074286
-8.053486000000001,-34.955741999999994,-8.05344,-34.955729999999996,0.0052565667181251365
-8.055834,-34.950607999999995,-8.05621,-34.95075,0.04443239151352574
-8.047068,-34.9506,-8.04696,-34.9506,0.011944372057466813
-8.054696,-34.959354,-8.0549,-34.95928,0.023990852101891898
-8.048445999999998,-34.95880399999999,-8.04833,-34.959070000000004,0.03200503567839794
-8.058662,-34.949155999999995,-8.0587,-34.949020000000004,0.015568892513961222
-8.055686,-34.95631,-8.05529,-34.95627,0.044017432405078466
-8.059146,-34.947536,-8.05908,-34.94773,0.022595582733965797
-8.056173999999999,-34.950723999999994,-8.05602,-34.9508,0.01898056770930054
-8.057751999999999,-34.95213199999999,-8.0576,-34.95265,0.05952120881793065
-8.05124,-34.958906,-8.05119,-34.95909,0.021022544173204837
-8.051645999999998,-34.957843999999994,-8.05166,-34.9578,0.005091243901136388
-8.048456,-34.952158,-8.04842,-34.95259,0.04778561545586356
-8.055174000000001,-34.95347,-8.05516,-34.95367,0.02209998872084479
-8.049908,-34.9531,-8.04978,-34.95309,0.014199145864044546
-8.056348,-34.95675,-8.05625,-34.95713,0.04326621442781529
-8.049908,-34.9531,-8.04975,-34.95309,0.01750890917368488
-8.050464,-34.954077999999996,-8.05052,-34.95393,0.0174500513298714
-8.053298,-34.948857999999994,-8.05299,-34.94873,0.03687005138071315
-8.055880000000002,-34.956288,-8.05649,-34.95624,0.06767077092351219
-8.052086000000001,-34.947156,-8.05198,-34.946999999999996,0.020811711657671556
-8.050528,-34.953356,-8.05045,-34.95386,0.05622151394262076
-8.052626,-34.95568,-8.05305,-34.95562,0.04735683708686574
-8.055302,-34.953672,-8.05512,-34.95366,0.02017190190614436
-8.052091999999998,-34.94827,-8.05214,-34.94835,0.01029293236912761
-8.052413999999999,-34.94679,-8.052389999999999,-34.94675,0.005146463553420665
-8.055598000000002,-34.954574,-8.05556,-34.95459,0.004557713051168416
-8.049436,-34.959734,-8.04913,-34.95977,0.03407425261895586
-8.050504,-34.95350199999999,-8.050419999999999,-34.95377,0.03096786883308757
-8.059122,-34.94621,-8.05847,-34.94635,0.073741441750903
-8.055442,-34.95600399999999,-8.05547,-34.95599,0.0034599056355499053
-8.046456,-34.946058,-8.046439999999999,-34.94664,0.06417870815221569
-8.053236,-34.94882199999999,-8.05338,-34.94883,0.015950229593838825
-8.056614,-34.955236,-8.05671,-34.95551,0.03201429257479333
-8.053754,-34.948325999999994,-8.05222,-34.94788,0.17663386178943105
-8.058662,-34.949155999999995,-8.05867,-34.94913,0.0029993798917037607
-8.049301999999999,-34.947312,-8.04926,-34.94724,0.00919594108277395
-8.047112,-34.950613999999995,-8.047,-34.950590000000005,0.012666119495515398
-8.049408000000001,-34.947386,-8.0498,-34.947590000000005,0.04883850915639036
-8.049871999999999,-34.94585,-8.04955,-34.94579,0.036220874268593974
-8.049408000000001,-34.947386,-8.0495,-34.94755,0.02074442131706041
-8.048802,-34.947148,-8.04893,-34.94732,0.023661494961384207
-8.053304,-34.948859999999996,-8.05339,-34.94885,0.009574922925194337
-8.04935,-34.954533999999995,-8.04942,-34.95455,0.007940078648735345
-8.055924000000001,-34.9563,-8.056519999999999,-34.95617,0.06745488568995137
-8.054288,-34.95947,-8.05368,-34.95962,0.06924540128867465
-8.051952,-34.957125999999995,-8.05209,-34.95682,0.03702242347644005
-8.048332,-34.94553,-8.04848,-34.94556,0.016698924725445336
-8.055228,-34.953516,-8.055069999999999,-34.95365,0.022880512672330135
-8.053008,-34.953878,-8.05315,-34.95394,0.017127230463685097
-8.047430000000002,-34.954001999999996,-8.047310000000001,-34.95397,0.013732288783372354
-8.055344,-34.956168,-8.0554,-34.956179999999996,0.00633305656180812
-8.051302,-34.950582,-8.05138,-34.95058,0.008629309311886693
-8.051672,-34.94937,-8.05161,-34.94979,0.0468013719082484
-8.055604,-34.954458,-8.055589999999999,-34.95448,0.0028771699838839723
-8.049518,-34.954589999999996,-8.049710000000001,-34.954679999999996,0.023437612078149796
-8.050962,-34.95052,-8.05086,-34.95058,0.013076635950643406
-8.051488,-34.959813999999994,-8.05144,-34.95985,0.006627852542138772
-8.046458,-34.946135999999996,-8.046439999999999,-34.946709999999996,0.06330377154256538
-8.054052,-34.94931199999999,-8.054310000000001,-34.94947,0.03342900946778404
-8.052705999999999,-34.955828,-8.05269,-34.955870000000004,0.004956274413659161
-8.051298,-34.94776399999999,-8.051110000000001,-34.94767,0.0232308393426195
-8.055456,-34.950786,-8.05533,-34.95095,0.022825016617020657
-8.054564,-34.946518,-8.05382,-34.9465,0.08230739886007048
-8.050466,-34.954125999999995,-8.050460000000001,-34.95411,0.0018843786678563585
-8.048760000000001,-34.950514,-8.04866,-34.950590000000005,0.013874337096951395
-8.057751999999999,-34.95213199999999,-8.0577,-34.95234,0.02363764120328124
-8.054212,-34.94941,-8.053980000000001,-34.949290000000005,0.02886716315290037
-8.051808000000001,-34.952253999999996,-8.05199,-34.9519,0.04390680660447738
-8.056022,-34.957845999999996,-8.05618,-34.95733,0.05950145652584013
-8.05562,-34.95397,-8.05565,-34.95394,0.004684398806590638
-8.051969999999999,-34.957083999999995,-8.051789999999999,-34.95749,0.04898101608621463
-8.054564,-34.946518,-8.05407,-34.946509999999996,0.054641578086593916
-8.055268,-34.95362,-8.05533,-34.95366,0.008152198053549874
-8.051656,-34.952304,-8.052010000000001,-34.95163,0.08397906135772595
-8.05538,-34.950928,-8.05535,-34.9508,0.01449409254137758
-8.050464,-34.954077999999996,-8.0505,-34.95407,0.004077946207387113
-8.056085999999999,-34.950675999999994,-8.05626,-34.95069,0.01930549591962323
-8.046872,-34.945173999999994,-8.04683,-34.945159999999994,0.004894680088801145
-8.054536,-34.953641999999995,-8.05463,-34.95362,0.010675122087161737
-8.058632,-34.949245999999995,-8.05865,-34.94921,0.004439541596279115
-8.049301999999999,-34.947312,-8.04914,-34.94713,0.026897611537728794
-8.052696000000001,-34.95339,-8.05264,-34.953379999999996,0.0062907073249858355
-8.051632,-34.95020199999999,-8.05155,-34.949940000000005,0.03027052328553956
-8.047358000000001,-34.950638,-8.04773,-34.95067,0.041292663745292515
-8.054604,-34.95773199999999,-8.05467,-34.95775,0.007564197922674044
-8.048244,-34.959261999999995,-8.048169999999999,-34.95912,0.017663144981358476
-8.050492,-34.953444,-8.050410000000001,-34.953759999999996,0.035993794932727065
-8.055486,-34.955431999999995,-8.05552,-34.95499,0.0488658114663116
-8.051952,-34.957125999999995,-8.052,-34.95702,0.012833717160094791
-8.049301999999999,-34.947312,-8.04994,-34.9475,0.07354050070165254
-8.053984,-34.955884,-8.0541,-34.95592,0.013428843386583874
-8.051654000000001,-34.95521,-8.05154,-34.95518,0.013034411961360256
-8.054536,-34.953641999999995,-8.05447,-34.95371,0.010462483749373554
-8.054181999999999,-34.957198,-8.0541,-34.95754,0.03877369950437655
-8.053030000000001,-34.953908,-8.05303,-34.9539,0.0008818319351245892
-8.054473999999999,-34.956073999999994,-8.05444,-34.95601,0.007994211691358498
-8.059176,-34.94742,-8.05915,-34.94751,0.010328795581887451
-8.051886000000001,-34.947896,-8.05183,-34.94784,0.008744250679710179
-8.05023,-34.950481999999994,-8.04948,-34.9504,0.08343807375105336
-8.051952,-34.957125999999995,-8.05215,-34.95669,0.05281365987840522
-8.05846,-34.949794,-8.05815,-34.950829999999996,0.11923136261344393
-8.050456,-34.95414,-8.05049,-34.954159999999995,0.004358879778531312
-8.05039,-34.950506,-8.05058,-34.950540000000004,0.02134485365250963
-8.046458,-34.946135999999996,-8.04646,-34.946220000000004,0.009262026095072753
-8.055796,-34.950697999999996,-8.05528,-34.95138,0.09438270986414342
-8.051792,-34.955248,-8.051960000000001,-34.9553,0.01944418948267187
-8.047406,-34.953996,-8.04738,-34.95398,0.003373289108008387
-8.049138000000001,-34.950386,-8.04924,-34.950379999999996,0.011300168372638723
-8.05322,-34.95971,-8.053239999999999,-34.9597,0.002471363639136137
-8.048076,-34.954181999999996,-8.04835,-34.95426,0.03149945921331328
-8.0593,-34.94628599999999,-8.05941,-34.94664,0.04087293999359561
-8.050816,-34.959668,-8.05153,-34.95984,0.08120976241173516
-8.054654,-34.953688,-8.054739999999999,-34.95365,0.01039274737744483
-8.057751999999999,-34.95213199999999,-8.058019999999999,-34.95127,0.09953192661159052
-8.049933999999999,-34.959598,-8.05017,-34.95957,0.02628252241314603
-8.051682,-34.949256,-8.05207,-34.949709999999996,0.06592260359499529
-8.054376000000001,-34.956413999999995,-8.05439,-34.95636,0.006150430308418659
-8.056094,-34.95506,-8.0556,-34.955040000000004,0.05467892631059425
-8.049622000000001,-34.95462199999999,-8.049439999999999,-34.95543,0.0913119414672567
-8.055836,-34.95532,-8.055530000000001,-34.95492,0.055581937251189394
-8.049902000000001,-34.959596,-8.04978,-34.95949,0.017848748556409492
-8.053984,-34.955884,-8.053939999999999,-34.955870000000004,0.005105060392614657
-8.046692,-34.94933399999999,-8.04643,-34.94958,0.03968547223735756
-8.046882,-34.950593999999995,-8.04643,-34.95066,0.050516035609946226
-8.058398,-34.95,-8.05837,-34.9501,0.01144948065231165
-8.053266,-34.948879999999996,-8.053239999999999,-34.94887,0.0030795339928044673
-8.054188,-34.95738,-8.05413,-34.9576,0.025084344198607538
-8.051874,-34.947981999999996,-8.05189,-34.94801,0.0035577032657962593
-8.047754000000001,-34.947545999999996,-8.048,-34.94765,0.02952326029440689
-8.05129,-34.950826,-8.052019999999999,-34.95117,0.08919643249541598
-8.047344,-34.953981999999996,-8.04711,-34.953920000000004,0.026766671635918574
-8.05709,-34.95430199999999,-8.057269999999999,-34.95369,0.07033547229559131
-8.055818,-34.950601999999996,-8.05529,-34.95122,0.08972417916941787
-8.05312,-34.953793999999995,-8.05328,-34.95398,0.027082874923423803
