"lat","lon","rssi_1_1","rssi_1_2","rssi_1_3","rssi_2_1","rssi_2_2","rssi_2_3","rssi_3_1","rssi_3_2","rssi_3_3","delay_1","delay_2","delay_3","pontoId"
-8.05004,-34.95954,-85.74,-98.28,-82.8442857142857,-98.7733333333333,-97.725,-95.96,-86.3933333333333,-102.688,-87.77,5,7,3,8800
-8.05521,-34.95354,-71.58,-96.14,-91.1671428571429,-95.5433333333333,-87.1175,-91.7585714285714,-90.5,-78.81,-96.9025,6,4,2,7322
-8.04642,-34.95304,-76.5114285714286,-90.2257142857143,-77.93,-96.91,-94.1125,-83.21,-83.8883333333333,-104.266,-97.22,2,5,5,9667
-8.05529,-34.9537,-88.3221428571429,-96.14,-93.1157142857143,-92.09,-87.6025,-93.8471428571429,-80.2366666666667,-83.706,-96.28,6,4,2,7282
-8.05223,-34.94794,-85.6971428571429,-88.1457142857143,-89.28,-60.08,-78.265,-77.8828571428571,-88.82,-89.898,-97.6,5,2,5,7999
-8.05076,-34.95057,-94.65,-96.72,-92.08,-93.58,-89.9875,-86.3014285714286,-92.64,-94.976,-96.5925,4,3,4,8613
-8.04816,-34.95934,-68.95,-89.5957142857143,-73.9485714285714,-96.4233333333333,-89.39,-93.46,-83.7533333333333,-106.544,-83.005,4,7,3,9325
-8.05532,-34.9537,-94.77,-103.33,-92.6571428571428,-98.03,-94.0525,-93.67,-83.185,-80.634,-96.28,6,4,2,7270
-8.04642,-34.95249,-66.52,-92.6842857142857,-66.39,-94.1566666666667,-83.52,-90.8814285714286,-82.25,-103.704,-97.22,1,5,5,9672
-8.0487,-34.95436,-74.7957142857143,-91.2328571428571,-78.34,-96.5166666666667,-93.035,-92.8042857142857,-78.9583333333333,-100.428666666667,-93.785,3,5,4,9109
-8.05222,-34.94809,-86.2271428571429,-87.2142857142857,-87.8857142857143,-63.04,-81.47125,-83.4214285714286,-89.7716666666667,-90.792,-97.6,5,2,5,8013
-8.0544,-34.95634,-92.8761904761905,-98.7371428571429,-89.9028571428571,-103.375833333333,-101.5175,-95.78,-78.3476666666667,-81.3505714285714,-91.5383333333333,6,6,1,7525
-8.05855,-34.94952,-92.1042857142857,-92.7757142857143,-91.8728571428571,-98.31,-83.725,-84.6825,-93.3233333333333,-82.956,-96.2325,7,4,4,6689
-8.05134,-34.95323,-88.3042857142857,-91.89,-84.8342857142857,-83,-88.46,-83.94,-92.28,-94.758,-94.7075,4,4,3,8467
-8.05516,-34.95333,-90.91,-95.5728571428572,-92.05,-95.5016666666667,-88.66,-90.7757142857143,-82.07,-78.632,-95.6025,6,4,2,7347
-8.05396,-34.94825,-92.422619047619,-90.2421428571429,-93.0646428571429,-84.15,-82.46,-86.9109523809524,-91.07,-93.64,-97.255,5,2,5,7621
-8.0485,-34.94697,-95.96,-87.5519047619048,-99.2121428571428,-83.75,-98.645,-95.7244642857143,-96.5633333333333,-104.27,-96.56,3,2,6,9214
-8.05613,-34.95505,-95.22,-97.7914285714286,-89.72,-97.9533333333333,-90.9425,-83.77,-83.0883333333333,-76.456,-94.4175,6,5,1,6879
-8.05133,-34.94777,-94.0242857142857,-93.7114285714286,-94.7,-75.44,-89.73,-92.95,-98.1016666666667,-98.578,-97.6,4,2,5,8472
-8.05215,-34.94821,-85.6971428571428,-86.3085714285714,-89.29,-63.34,-82.72,-82.8714285714286,-88.9383333333333,-91.774,-97.6,4,2,5,8053
-8.04822,-34.95073,-81.3514285714286,-80.4871428571429,-76.32,-89.33,-89.9,-87.6385714285714,-85.9116666666667,-98.012,-96.7925,2,4,5,9301
-8.05216,-34.94806,-86.2271428571429,-87.28,-87.8857142857143,-58.09,-72.72,-81.9957142857143,-89.7716666666667,-90.792,-97.6,5,2,5,8041
-8.05513,-34.95366,-85.12,-96.14,-88.8185714285714,-95.84,-90.03,-97.03,-84.8383333333333,-79.574,-97.66,6,4,2,7362
-8.05459,-34.95602,-92.0228571428571,-98.7371428571429,-88.2025,-101.6425,-101.5175,-95.78,-72.31,-88.5,-91.33,6,5,1,7458
-8.05614,-34.95648,-88.34,-99.1157142857143,-90.0642857142857,-100.575,-92.505,-94.3,-85.5183333333333,-87.69,-94.47,6,6,1,6877
-8.04642,-34.95187,-77.3671428571429,-92.65,-74.4814285714286,-90.65,-96.995,-92.28,-91.75,-103.704,-94.8175,1,5,5,9677
-8.05487,-34.95611,-80.7,-98.7371428571429,-86.26,-100.909166666667,-99.975,-95.7442857142857,-86.125,-87.358,-89.71,6,5,1,7410
-8.05555,-34.95632,-91.0071428571429,-99.1157142857143,-90.1217857142857,-96.1066666666667,-92.8375,-93.8814285714286,-85.855,-65.69,-87.005,6,6,1,7088
-8.05573,-34.95633,-87.78,-99.1157142857143,-90.29,-96.235,-90.16,-93.3271428571428,-82.3633333333333,-70.77,-92.16,6,6,1,6966
-8.05407,-34.95355,-87.4328571428571,-101.75,-89.6114285714286,-99.29,-90.5525,-89.6957142857143,-91.3166666666667,-92.13,-95.455,5,4,2,7605
-8.05055,-34.95967,-81.39,-96.2342857142857,-90.01,-98.18,-94.1925,-94.53,-89.1316666666667,-102.688,-82.77,5,7,2,8664
-8.05029,-34.94755,-98.64,-88.7221428571429,-96.25125,-78.77,-90.9125,-97.0185714285714,-92.33,-96.362,-98.9125,4,2,5,8761
-8.0479,-34.94764,-93.6885714285714,-90.39,-97.97,-86.95,-97.685,-97.9685714285714,-106.07,-102.064,-94.4075,3,3,6,9393
-8.05172,-34.95522,-83.2485714285714,-99.0385714285714,-80.76,-90.14,-92.5975,-90.8042857142857,-70.6783333333333,-89.81,-94.6225,4,5,2,8311
-8.05228,-34.94829,-87.1914285714286,-86.2314285714286,-89.5042857142857,-68.92,-81.5075,-82.48,-87.37,-92.514,-97.255,5,2,5,7958
-8.04844,-34.95275,-61.38,-89.26,-73.9342857142857,-88.26,-79.88,-87.2328571428571,-88.76,-100.104,-96.8925,2,4,4,9245
-8.05175,-34.95983,-86.0117142857143,-95.6842857142857,-82.76,-99.26,-98.2575,-93.5317857142857,-88.34,-99.194,-95.09,5,7,2,8294
-8.05223,-34.94806,-86.2271428571429,-88.59,-87.8857142857143,-63.33,-79.145,-83.4857142857143,-89.01,-90.792,-97.6,5,2,5,7993
-8.05585,-34.95851,-88.49,-99.5742857142857,-88.51,-95.8766666666667,-95.8825,-90.95,-87.24,-89.988,-66.02,7,7,0,6932
-8.05122,-34.95896,-83.9357142857143,-95.0071428571429,-84.6371428571428,-99.26,-96.0175,-90.2742857142857,-90.1316666666667,-98.266,-78.38,5,7,2,8503
-8.05165,-34.95984,-87.602,-99.17,-84.1933333333333,-101.44,-99.21,-92.3625,-91.56,-102.62,-84.7981818181818,5,7,2,8343
-8.04813,-34.94718,-98.47,-91.5185714285714,-98.4928571428571,-84.63,-99.9375,-99.4857142857143,-103.4,-101.744,-96.92,3,3,6,9343
-8.04852,-34.95149,-80.7,-87.58,-85.8057142857143,-91.83,-95.965,-88.5,-87.9133333333333,-98.012,-98.6525,2,4,4,9196
-8.04845,-34.95076,-82.3971428571429,-76.95,-80.82,-74.32,-88.335,-87.867619047619,-90.9166666666667,-98.012,-96.7925,2,4,5,9242
-8.05474,-34.95363,-92.02,-96.09,-89.83,-93.655,-90.27,-90.3157142857143,-92.13,-85.564,-96.2725,5,4,2,7427
-8.0493,-34.94753,-96.32,-95.71,-93.2585714285714,-86.14,-95.095,-96.7985714285714,-92.085,-96.186,-98.9125,3,2,6,8975
-8.05222,-34.94815,-86.2271428571429,-86.2314285714286,-87.8857142857143,-68.605,-82.05,-100.65,-84.03,-90.704,-97.6,5,2,5,8009
-8.05548,-34.95056,-91.4642857142857,-91.97,-91.6666666666667,-92.72,-85.515,-81.2314285714286,-89.4841666666667,-83.88,-96.3725,6,3,3,7153
-8.04643,-34.9508,-82.08,-78.2109047619048,-82.5267619047619,-95.59,-95.485,-97.79,-90.5533333333333,-99.954,-94.4075,2,4,5,9647
-8.05724,-34.95381,-90.1728571428572,-95.9885714285714,-86.15,-98.7883333333333,-89.5775,-90.2985714285714,-92.6166666666667,-73.742,-93.1,7,5,2,6750
-8.0494,-34.95041,-90.0242857142857,-93.6342857142857,-92.58,-83.32,-97.8775,-96.7228571428571,-95.79,-97.346,-96.7925,3,3,5,8955
-8.05412,-34.95746,-102.7,-99.21,-90.2728571428571,-103.375833333333,-101.565,-95.2242857142857,-63.55,-88.874,-87.02,6,6,1,7595
-8.04967,-34.95308,-86.6575,-92.6728571428572,-78.25,-83.75,-90.52,-87.1683333333333,-91.8966666666667,-97.358,-96.1725,3,4,4,8883
-8.05472,-34.95936,-82.0157142857143,-100.307142857143,-81.6471428571429,-95.72,-100.225,-90.2,-92.12,-89.368,-58.77,6,7,1,7428
