p_lat,p_lon,o_lat,o_lon,dist
-8.050971,-34.950497,-8.05077,-34.950540000000004,0.02272951243277749
-8.046978,-34.94520000000001,-8.04675,-34.94515,0.02581120736330023
-8.053045,-34.959723,-8.0533,-34.95973,0.02821255151838357
-8.049489000000001,-34.954572999999996,-8.04936,-34.955709999999996,0.12614088166095588
-8.055457,-34.95110453333333,-8.05525,-34.95163,0.062281520624805284
-8.051842,-34.953174,-8.051039999999999,-34.9532,0.08874433092141618
-8.050509,-34.95372199999999,-8.05038,-34.95375,0.014596925829108926
-8.0556298,-34.9540472,-8.05562,-34.95405,0.0011269298226546061
-8.046588,-34.945151,-8.04663,-34.94513,0.005189879068098224
-8.053095999999998,-34.956033999999995,-8.0527,-34.95551,0.07248663476245677
-8.051782,-34.950331,-8.05204,-34.95028,0.02908230218850664
-8.050417999999999,-34.95370299999999,-8.05045,-34.953829999999996,0.014439592607008538
-8.052056,-34.94822799999999,-8.05215,-34.94822,0.010433363455683083
-8.05649075,-34.955541249999996,-8.05668,-34.95561,0.02225997839585772
-8.051981,-34.947505,-8.05195,-34.94761,0.012071191266465702
-8.058235,-34.949442,-8.05846,-34.9498,0.04665218844416155
-8.04908,-34.950419000000004,-8.049,-34.95035,0.011667512262373515
-8.053377,-34.953984,-8.053230000000001,-34.95397,0.016330700240041858
-8.051841,-34.94848933333333,-8.05176,-34.948879999999996,0.043984839539918684
-8.054139,-34.956747,-8.05425,-34.95688,0.019121504990337775
-8.054389,-34.956374499999995,-8.05442,-34.95627,0.012018290614812112
-8.047645999999999,-34.95066,-8.04761,-34.95066,0.00398145747124975
-8.056616750000002,-34.95515575,-8.05662,-34.95527,0.012598679799526545
-8.050965,-34.959734,-8.05081,-34.959740000000004,0.01715514274090961
-8.0527775,-34.948138,-8.05223,-34.94815,0.060565792795796346
-8.049012,-34.952996,-8.0488,-34.95297,0.02362087538442278
-8.04740745,-34.94757824999999,-8.047260000000001,-34.947559999999996,0.016431001302087765
-8.048798000000001,-34.950424,-8.048739999999999,-34.95045,0.00702570853227005
-8.052201,-34.947945999999995,-8.05217,-34.94798,0.005079411145981727
-8.04835015,-34.958932999999995,-8.04836,-34.959070000000004,0.015140785682429676
-8.054795,-34.946701999999995,-8.05545,-34.94654,0.07460890686900222
-8.050088833333334,-34.95466966666666,-8.04999,-34.95473,0.012794806461383803
-8.0467052,-34.9505842,-8.04668,-34.950590000000005,0.002859411520823436
-8.048804,-34.95768199999999,-8.048789999999999,-34.95775,0.0076538963274410225
-8.055329,-34.951116,-8.05529,-34.95128,0.018584897854690436
-8.053365,-34.955704,-8.05344,-34.955729999999996,0.008775865408213986
-8.055461,-34.950767,-8.05621,-34.95075,0.08285765988357982
-8.047070000000001,-34.950602999999994,-8.04696,-34.9506,0.012170057838136556
-8.05499,-34.959266,-8.0549,-34.95928,0.010072564469084931
-8.048342566666667,-34.95902,-8.04833,-34.959070000000004,0.005684046589285112
-8.058651,-34.949194,-8.0587,-34.949020000000004,0.019930480929831792
-8.055325,-34.956117,-8.05529,-34.95627,0.017303462987238612
-8.059225,-34.947275,-8.05908,-34.94773,0.052654862610836226
-8.056053,-34.950681,-8.05602,-34.9508,0.013615425328507517
-8.057746,-34.952155999999995,-8.0576,-34.95265,0.056796139808743706
-8.051232266666666,-34.95892763333333,-8.05119,-34.95909,0.0184979746267404
-8.051682333333332,-34.957760666666665,-8.05166,-34.9578,0.004989888423584716
-8.048406,-34.952262999999995,-8.04842,-34.95259,0.03607852811184864
-8.055171,-34.95343199999999,-8.05516,-34.95367,0.026262554927539226
-8.049779,-34.953244999999995,-8.04978,-34.95309,0.017085987881855006
-8.056284,-34.95685199999999,-8.05625,-34.95713,0.030873266302255155
-8.049845,-34.953138,-8.04975,-34.95309,0.011763681599119603
-8.05047,-34.953919,-8.05052,-34.95393,0.00566117828308103
-8.0532534,-34.94886,-8.05299,-34.94873,0.03246471368050425
-8.05636,-34.956056999999994,-8.05649,-34.95624,0.024771177867107183
-8.052016000000002,-34.947078,-8.05198,-34.946999999999996,0.00947499892187656
-8.05049,-34.953936999999996,-8.05045,-34.95386,0.009571373366104856
-8.05272425,-34.95562225,-8.05305,-34.95562,0.03602752320839957
-8.055208,-34.953624999999995,-8.05512,-34.95366,0.01046923135409092
-8.052054,-34.948271999999996,-8.05214,-34.94835,0.012821374933853439
-8.052356,-34.946678999999996,-8.052389999999999,-34.94675,0.008682748445746928
-8.055585,-34.95456,-8.05556,-34.95459,0.004310444838086623
-8.049415,-34.959723999999994,-8.04913,-34.95977,0.0319251194607963
-8.050513,-34.953739,-8.050419999999999,-34.95377,0.010838212361628094
-8.058796,-34.94638199999999,-8.05847,-34.94635,0.03622645871240562
-8.055454,-34.9559758,-8.05547,-34.95599,0.0023624660737857303
-8.046453999999999,-34.946166999999996,-8.046439999999999,-34.94664,0.052162139817997305
-8.053196900000001,-34.94873499999999,-8.05338,-34.94883,0.02279749315078883
-8.056382,-34.955411,-8.05671,-34.95551,0.03788136031350432
-8.0526825,-34.94835199999999,-8.05222,-34.94788,0.07296109497274052
-8.058542999999998,-34.949528,-8.05867,-34.94913,0.04606415044918006
-8.04924,-34.947391,-8.04926,-34.94724,0.016791060125523474
-8.046747,-34.950585,-8.047,-34.950590000000005,0.027986224973327003
-8.049378999999998,-34.947331999999996,-8.0498,-34.947590000000005,0.054559287280161094
-8.049662,-34.945958,-8.04955,-34.94579,0.022279391417755597
-8.049484,-34.947424,-8.0495,-34.94755,0.014001244409381693
-8.048945,-34.94727399999999,-8.04893,-34.94732,0.005335064352929614
-8.053411,-34.948797,-8.05339,-34.94885,0.006286858133190864
-8.0493415,-34.954531,-8.04942,-34.95455,0.008930837624193055
-8.056393,-34.956091,-8.056519999999999,-34.95617,0.016526080642409617
-8.054250999999999,-34.959444,-8.05368,-34.95962,0.066063135159891
-8.052024,-34.956956999999996,-8.05209,-34.95682,0.016772980935723922
-8.048687999999999,-34.94560599999999,-8.04848,-34.94556,0.02355618508804884
-8.055133999999999,-34.953558,-8.055069999999999,-34.95365,0.012366907259961826
-8.053078,-34.95391766666666,-8.05315,-34.95394,0.008334771172722305
-8.047341999999999,-34.953835999999995,-8.047310000000001,-34.95397,0.015188952417740886
-8.055376166666667,-34.95615683333333,-8.0554,-34.956179999999996,0.0036699892674556646
-8.051398,-34.95058533333333,-8.05138,-34.95058,0.00207572092966777
-8.051724,-34.949698,-8.05161,-34.94979,0.01618030791880158
-8.055573,-34.954463,-8.055589999999999,-34.95448,0.002654492827212311
-8.049863166666668,-34.954637,-8.049710000000001,-34.954679999999996,0.01759026788558683
-8.051185,-34.950416,-8.05086,-34.95058,0.04023371908602382
-8.051656,-34.959799,-8.05144,-34.95985,0.024541308986085992
-8.046454999999998,-34.94613,-8.046439999999999,-34.946709999999996,0.06395536648082567
-8.054504,-34.949572999999994,-8.054310000000001,-34.94947,0.024274420538053558
-8.052536,-34.956019,-8.05269,-34.955870000000004,0.02366081747285476
-8.051033,-34.947725,-8.051110000000001,-34.94767,0.010453511382632596
-8.055341,-34.951012,-8.05533,-34.95095,0.006941594748171803
-8.053805,-34.946557,-8.05382,-34.9465,0.006498360036758599
-8.050392,-34.95427599999999,-8.050460000000001,-34.95411,0.01978332484712431
-8.048741,-34.950528,-8.04866,-34.950590000000005,0.01126756512269003
-8.057744000000001,-34.952164999999994,-8.0577,-34.95234,0.019894183731243863
-8.053980750000001,-34.94928399999999,-8.053980000000001,-34.949290000000005,0.0006665535821524397
-8.051536,-34.952676999999994,-8.05199,-34.9519,0.09928100801788343
-8.055648000000001,-34.95751,-8.05618,-34.95733,0.062092469513255054
-8.055629,-34.953962999999995,-8.05565,-34.95394,0.0034382530812291723
-8.0519017,-34.95723924999999,-8.051789999999999,-34.95749,0.03027508125331839
-8.053925,-34.946549,-8.05407,-34.946509999999996,0.0166026453613117
-8.0554155,-34.953706,-8.05533,-34.95366,0.010729645416468415
-8.053264,-34.951983,-8.052010000000001,-34.95163,0.14404259783944584
-8.055405,-34.950806,-8.05535,-34.9508,0.006118633688524288
-8.050466000000002,-34.954049,-8.0505,-34.95407,0.004415654717282124
-8.056256999999999,-34.950672999999995,-8.05626,-34.95069,0.0019030245071702903
-8.047056,-34.94524,-8.04683,-34.945159999999994,0.02650472270800137
-8.054608,-34.95364,-8.05463,-34.95362,0.00328331794989195
-8.058568,-34.94946,-8.05865,-34.94921,0.0290107860748127
-8.049059,-34.947121,-8.04914,-34.94713,0.009013045186561087
-8.05272575,-34.95339325,-8.05264,-34.953379999999996,0.00959541953316705
-8.051576249999998,-34.950221,-8.05155,-34.949940000000005,0.031110212430659565
-8.047974,-34.950734999999995,-8.04773,-34.95067,0.027920432226254385
-8.054771,-34.957777,-8.05467,-34.95775,0.011559889592877017
-8.048185066666667,-34.959216,-8.048169999999999,-34.95912,0.010712499023284427
-8.050264,-34.953633999999994,-8.050410000000001,-34.953759999999996,0.021298572066765872
-8.05476,-34.955223999999994,-8.05552,-34.95499,0.08792162736002707
-8.052028,-34.956947,-8.052,-34.95702,0.008622033131833759
-8.049534,-34.947433,-8.04994,-34.9475,0.045505313055732584
-8.053962,-34.955892,-8.0541,-34.95592,0.015571204899282492
-8.051751000000001,-34.955326,-8.05154,-34.95518,0.028347106761723587
-8.0544,-34.953692999999994,-8.05447,-34.95371,0.007965284851650553
-8.05416625,-34.95728199999999,-8.0541,-34.95754,0.029367697725616235
-8.053102,-34.95386116666667,-8.05303,-34.9539,0.00904053270373605
-8.054394,-34.956064,-8.05444,-34.95601,0.007830214068263388
-8.059137999999999,-34.947562,-8.05915,-34.94751,0.0058834610746292424
-8.051688,-34.947728,-8.05183,-34.94784,0.01997627842706114
-8.049822,-34.950455,-8.04948,-34.9504,0.03830664782679251
-8.051930999999998,-34.957188,-8.05215,-34.95669,0.060000037454116396
-8.058403,-34.949996,-8.05815,-34.950829999999996,0.09609377294761651
